,Expected entropy
yores,-6.878824225404101
caste,-6.8795961820468845
maser,-6.88096303221907
trios,-6.881490676746425
aster,-6.881902462992823
motes,-6.882871245417289
caret,-6.883455938166927
beats,-6.8838738007116245
stile,-6.88397327687187
paste,-6.885818224937004
names,-6.886906008439317
roast,-6.8870791007663
holes,-6.887345828075028
bries,-6.887586026165026
miles,-6.890645639582343
sited,-6.891915712350566
wales,-6.8935451960236875
means,-6.894427203890666
tunes,-6.8950000904623545
paces,-6.895357474123351
scale,-6.896100776265174
dines,-6.897787876207945
dames,-6.898066661407367
liens,-6.898861063804496
darns,-6.899703514465584
orate,-6.899998444736248
shale,-6.901201119308636
pairs,-6.9014969424520585
noels,-6.901660740356449
toils,-6.903696134042873
capes,-6.90744160780824
times,-6.9082775179122855
tarps,-6.9088874984834865
robes,-6.90955998732922
pleas,-6.910038168243193
takes,-6.911634874749387
lards,-6.911922413080275
stela,-6.916107326061643
piers,-6.916756710741353
acnes,-6.917872347152313
apers,-6.918147733073624
suite,-6.918673168863484
cures,-6.919096134452356
alter,-6.919123236281368
fates,-6.919569122109532
sable,-6.920548618923361
irate,-6.920725377361293
nails,-6.921579703160579
ceils,-6.9221938026185486
safer,-6.92280828595699
carte,-6.9231203868834035
risen,-6.92372319644127
steal,-6.924125910740547
shoer,-6.924795363049764
toads,-6.926383021360065
mites,-6.92807794091668
fores,-6.92939399876776
prats,-6.9299590459276725
wears,-6.931884752468344
fears,-6.932089361310921
delis,-6.932487390439552
sawer,-6.93288726620591
marts,-6.93293787929487
terms,-6.93454817762274
pines,-6.9349272747584
diets,-6.937062428934206
spier,-6.937498947068534
rheas,-6.937753885542898
selah,-6.937793928240069
poets,-6.938524666970987
heros,-6.938724554968765
tyres,-6.939598102419634
lakes,-6.9413243469459225
dials,-6.9417496773959115
coats,-6.942034492011642
heirs,-6.943292367701376
doser,-6.944301400074715
lunes,-6.94735386847911
stair,-6.947411481625655
altos,-6.948862287862974
rated,-6.950226673809202
sedan,-6.950280351131571
limes,-6.950306176068018
septa,-6.951216226383065
shier,-6.9527501633841045
sidle,-6.953816950524905
coals,-6.955401194705635
sepal,-6.955421811335158
nodes,-6.955781716702347
stone,-6.956624304571167
loads,-6.957037977569348
aired,-6.957893892973447
baser,-6.959066753955351
socle,-6.961078177228884
pelts,-6.9612065724288135
poser,-6.962161994818264
hades,-6.962504943540694
spear,-6.964396009886546
maces,-6.965042263005944
dater,-6.965156427543985
tiler,-6.967250837377911
betas,-6.969729115064235
pails,-6.970589654303417
biles,-6.970652042759789
rinse,-6.97093109263966
hones,-6.973302969907145
traps,-6.973609605669802
fires,-6.976451284754975
beans,-6.976679332317113
harts,-6.976728031354635
shear,-6.97701872499113
slant,-6.977713348219356
teaks,-6.979550279481555
toner,-6.9807654217822055
sober,-6.982434924794591
marls,-6.982586983125425
lapse,-6.9832792127027
stied,-6.983928425222575
hoers,-6.9841995881642855
wanes,-6.984513531988056
oared,-6.9847479566677855
peons,-6.986999884284658
wires,-6.987261224772236
haste,-6.987908769833372
sauce,-6.99010210564167
coset,-6.99017703827538
poset,-6.990366910897014
roams,-6.990615613725043
salon,-6.990916237448286
slide,-6.991686390106441
feats,-6.99237483314469
anise,-6.992745176556376
spore,-6.993163491109532
talus,-6.993723395279845
lobes,-6.994577435348602
cater,-6.99473935629891
crate,-6.99490617854596
hoars,-6.996223686516886
paler,-6.9967676511691606
fries,-6.998072706791235
pater,-6.998733668904002
trade,-6.9989707110431905
weals,-6.99914501058482
lyres,-7.000126844613983
hairs,-7.001153804382988
score,-7.002002892112717
prate,-7.002070357610179
strep,-7.0036382738243566
loges,-7.004440228056125
leaks,-7.005563253887686
mines,-7.005693815315925
rands,-7.005977503640321
shore,-7.006996379682426
bites,-7.007954705417311
taper,-7.008685627108889
raves,-7.0109784886205695
spiel,-7.011425362741352
toile,-7.011546468505755
spire,-7.012357610238077
rends,-7.013163379766944
codes,-7.013275205199331
moats,-7.01361720036067
dents,-7.01367348929976
satin,-7.013987759206883
smear,-7.01501627026621
liest,-7.015589039571672
leant,-7.017083276605261
rouse,-7.017309529214122
meads,-7.018797070967645
bones,-7.019255603988994
iotas,-7.020907587465482
slope,-7.022268237956443
nerds,-7.023418616150912
torus,-7.023978324066285
talcs,-7.025788759686764
stead,-7.026705734032561
nards,-7.027279629924118
shire,-7.028820492027174
ports,-7.0291877273415535
melts,-7.029320838529094
alert,-7.029352523534355
slice,-7.030038318124094
dopes,-7.030278989181934
trams,-7.03043010643424
learn,-7.031740628468155
carne,-7.031872773215296
dirts,-7.0321380704326755
tours,-7.033366367345798
noise,-7.034300265140299
goers,-7.034484752618772
colas,-7.034738135772797
baste,-7.036753508500554
boars,-7.0395901375201655
routs,-7.040091149295794
mails,-7.0401406619901845
trace,-7.040994477366962
osier,-7.041788062249867
roids,-7.042560885903302
paren,-7.042609487267424
tacos,-7.042689609383553
sware,-7.043806287370434
pages,-7.044945527810942
liter,-7.045075771771939
hames,-7.045983813209043
cased,-7.047564769010478
spite,-7.047751081228672
slake,-7.048181923251837
tamer,-7.0504750291167735
loins,-7.0507556085986245
tends,-7.050873890687432
sepia,-7.051820113547975
idles,-7.05267492819852
tired,-7.0530187792050425
alien,-7.053727178940387
plats,-7.054111633896033
domes,-7.054434426746065
lions,-7.0544453357550285
leafs,-7.054813923677676
tuans,-7.055053887241411
caner,-7.055188294384584
cents,-7.055732007016338
vales,-7.0560057886975684
latus,-7.057602970374331
cages,-7.057610623781883
biers,-7.060029665495686
prose,-7.060057949689128
heads,-7.060354807440718
dealt,-7.061736273730547
tokes,-7.062155933837913
malts,-7.062298319069386
aider,-7.063616159667466
cants,-7.064329157225648
copes,-7.065714684493177
cards,-7.0678791801119205
clues,-7.06839656946437
lacer,-7.068712054203539
ogres,-7.068802043912307
hails,-7.0691109065250695
horse,-7.069116145219952
manse,-7.0695720023541755
loner,-7.070290758709695
dices,-7.0708165883019385
gapes,-7.0717651119825256
lords,-7.071862034009447
poste,-7.071868509449332
tapis,-7.073402599300161
skate,-7.073675400341535
slain,-7.074501605324567
pains,-7.075621647602866
tried,-7.075698038076912
modes,-7.077263269405593
brats,-7.077600445698737
oiler,-7.077787762669896
prise,-7.0781839457139615
onset,-7.078601595284362
stern,-7.078828063896906
pants,-7.079106216972533
ailed,-7.079622971901417
penis,-7.0803694168873195
pards,-7.080733726932106
snarl,-7.080958802314517
litre,-7.081463928492043
mater,-7.081960904384272
cared,-7.0825719525445345
loams,-7.082697209620919
saver,-7.083079537466661
miser,-7.083284782304411
react,-7.083607874332293
weans,-7.084403465567525
slime,-7.085239637920543
narcs,-7.086709709254556
oaten,-7.088104343943601
deist,-7.08891982156712
poise,-7.089387831223722
saith,-7.089511445363947
lends,-7.08978680692389
files,-7.090115016719623
smote,-7.090992599708013
floes,-7.091147268008324
resin,-7.0916322839493136
pared,-7.0919461902642675
morts,-7.093435538437806
wiles,-7.093784555667772
dunes,-7.094116951756141
leash,-7.0941536395557145
aegis,-7.094558640734887
boats,-7.094989085517454
sower,-7.095359770323921
comes,-7.095722329361467
slued,-7.095791227589667
slyer,-7.095993345816965
tread,-7.096715234174438
laves,-7.096948897742445
dolts,-7.097320497093447
alder,-7.097716260284817
resay,-7.097904603561369
beast,-7.099252005635918
irons,-7.099464004665346
baits,-7.099550605899224
snort,-7.099797024938918
halts,-7.100439206624184
smite,-7.101305247901328
mules,-7.101701167695852
dimes,-7.102240237216883
super,-7.102618529649775
salty,-7.102710038927345
weirs,-7.102775379458378
games,-7.1029534108142505
haler,-7.103045439009409
flies,-7.103958877821431
gaols,-7.104003510791615
lands,-7.1048991452686865
hater,-7.1051330580606775
belts,-7.105693958728113
beads,-7.105804822469692
islet,-7.106745451785608
goats,-7.107099059532982
stage,-7.1071521855969895
gaits,-7.107179488285109
renal,-7.107560579415121
louse,-7.107708642428909
crane,-7.107717505625133
spade,-7.107987755357605
raths,-7.108540165276586
trays,-7.109237457772021
noire,-7.109628270552533
heaps,-7.110406962211618
sprat,-7.111028513981783
tikes,-7.111535130502565
lapis,-7.1120397375152224
since,-7.112426185576921
noter,-7.113262086693511
molas,-7.113461009132518
ideas,-7.1151313320266825
fades,-7.115293408873193
moans,-7.115328680468472
kites,-7.115350725919673
halos,-7.1159076942791115
pitas,-7.116380405931946
doest,-7.117139687044113
wades,-7.117608937502376
doter,-7.118032602618072
bails,-7.118482656207922
goals,-7.118589315558389
barns,-7.118716483973632
orcas,-7.11917465177686
crits,-7.119589634497919
cause,-7.119985528201257
pause,-7.121373007959145
shade,-7.12281798182743
teary,-7.122936346369235
smile,-7.123705406520909
farts,-7.123849682698969
corns,-7.126733824560805
alone,-7.127026891136962
antis,-7.128005470124646
steno,-7.128469006535448
warts,-7.1288895385681155
liner,-7.129764229801445
heart,-7.130167793908493
inset,-7.130522399813813
lamer,-7.131028482076863
pearl,-7.132356454839214
snide,-7.1325950824982005
lints,-7.133162704124469
coils,-7.13334915981054
snail,-7.133646924345204
plate,-7.134606807721347
shred,-7.1349681876547955
tenor,-7.135356953768296
carps,-7.1353954288484465
skier,-7.137099786939597
abets,-7.138158856645343
likes,-7.138168043349135
mopes,-7.138771870282824
yarns,-7.139046652746495
autos,-7.139097950523532
tunas,-7.139185667602751
louts,-7.139660846142079
sutra,-7.139831807506975
mains,-7.140715144403531
yeast,-7.140900476802672
duals,-7.140938517959268
satyr,-7.141587155114226
gorse,-7.141684501823414
acmes,-7.141809525345832
mutes,-7.142121467047659
cafes,-7.142369989926595
stein,-7.142645952574464
amens,-7.144523464158547
vanes,-7.144820311662296
nosed,-7.146560693420006
poler,-7.147346788967284
treys,-7.1480307322215015
sales,-7.148083375220751
duels,-7.148595096910172
waste,-7.148788970732644
baler,-7.149221685985684
colts,-7.149246659385245
slept,-7.149869196689184
riled,-7.150566034853983
cakes,-7.151357062490515
space,-7.152400214129495
duets,-7.152475951558941
miens,-7.152971618391964
aunts,-7.153424635169268
vires,-7.1537602183037095
clans,-7.154607253836047
coeds,-7.154724844992858
fairs,-7.155233768663479
neato,-7.155437321556135
route,-7.156063949295562
lotsa,-7.156305152304009
torsi,-7.15737837165265
faces,-7.158272295684047
hides,-7.15828678918106
bodes,-7.158376338481044
smart,-7.159263766687376
niter,-7.159799755516646
degas,-7.159931430661859
anile,-7.160524394504372
beaus,-7.160545159990023
doges,-7.1615809966831065
shape,-7.161840675722444
scone,-7.16195142096207
shone,-7.16231164665265
rubes,-7.1629216699702765
aimer,-7.163033038825021
close,-7.16344504779869
shoed,-7.16374893438875
diest,-7.16395649023338
larks,-7.164353589264651
stake,-7.165203310622996
solid,-7.165327720561467
pyres,-7.166063481395197
false,-7.166347594475198
roves,-7.1666917253690245
plans,-7.166734817548852
anole,-7.169117914715184
stain,-7.169578178518429
trips,-7.169720885331209
hopes,-7.169987489768748
herds,-7.1702648367843205
toper,-7.171005969142504
spied,-7.17130100536102
veals,-7.171395672103692
sawed,-7.172074603614027
snipe,-7.172263652677311
layer,-7.172827192028977
grate,-7.173220899716542
laden,-7.173766969106688
razes,-7.174090637547467
perms,-7.175133991239861
spine,-7.175452506355824
coast,-7.175588377915559
cauls,-7.175617527704078
ousel,-7.176052547775317
turns,-7.178305251178463
swear,-7.179269008303173
raced,-7.179619832398223
fleas,-7.180085557709185
prest,-7.180639632033432
legos,-7.180766608478358
atone,-7.180849187245831
panel,-7.180859743941676
arson,-7.180971226908894
lauds,-7.1819793560741
tiled,-7.182347668404797
frats,-7.183065143978332
crest,-7.1839119859202025
ogles,-7.184098442408308
shied,-7.184530597193807
shalt,-7.185068000573122
sates,-7.185508468453496
paten,-7.1862824184226035
leapt,-7.1865397891697995
salve,-7.186818090633138
cadre,-7.186826097102082
spelt,-7.187242066619497
icers,-7.187453971846631
ileus,-7.188227143574108
bolas,-7.188681234876712
snake,-7.189438601279506
staid,-7.189691997243954
kerns,-7.190320607734983
shine,-7.190791599608224
agues,-7.192905862832676
large,-7.193343333644733
treks,-7.193660502235547
brans,-7.193703997042537
edits,-7.1947239316913345
sores,-7.195069590984947
polis,-7.196281766754123
fines,-7.196634239042447
gules,-7.196848317059224
morel,-7.197868327673266
adore,-7.1985121797390414
homes,-7.198616065667799
based,-7.198988414355955
ferns,-7.200311004009359
bents,-7.2004458346691305
bides,-7.200791648465334
padre,-7.201307547806703
fames,-7.201417788893938
delta,-7.2020178248047815
drams,-7.2020606621311805
wines,-7.202176471329559
posed,-7.202632304457973
craps,-7.202789270971201
blats,-7.2029235561960885
morns,-7.2029446080849056
toned,-7.204107807600826
shoat,-7.204141303405172
frets,-7.2041536567708935
canoe,-7.205016811933548
rafts,-7.205364176199514
steam,-7.205849915524835
raped,-7.206071211170032
mrads,-7.20690317776458
nurse,-7.207742439728466
emirs,-7.207902498909439
clots,-7.208024557818727
feast,-7.208204658544942
swore,-7.208341255611716
paled,-7.208407549902529
taxes,-7.209964983609185
peaks,-7.210300214511096
aside,-7.210755305587537
lotus,-7.211183276401853
beams,-7.211343637405002
nudes,-7.211377048940172
laths,-7.211533994963215
plots,-7.2119789247844235
blues,-7.213383887224393
opals,-7.214035126308607
makes,-7.214235216956714
sears,-7.214648200631437
toves,-7.215885146048179
tubes,-7.216407185653673
serif,-7.216484002880067
waits,-7.217661908509176
trail,-7.217718097130015
louis,-7.217739066652322
sprue,-7.218005967391474
welts,-7.220240195841724
lager,-7.220678405164781
togas,-7.221203437132048
gents,-7.221306655407758
shame,-7.221454420857092
arced,-7.2220356266327785
felts,-7.22207585814095
cored,-7.222180071948538
rives,-7.222331381987101
demos,-7.222686789277389
seamy,-7.2232118798564295
talks,-7.223563507659362
ruins,-7.223726944318337
pesto,-7.224033177769254
molts,-7.22430841553058
bards,-7.2245270581342975
realm,-7.225535202978447
cadet,-7.2255484125688785
recta,-7.226448757343976
trims,-7.227493037855106
heist,-7.22777804795269
pacer,-7.227983643012015
foals,-7.228108677058236
warns,-7.229495802353771
yules,-7.230005042071204
diner,-7.230730706112965
lance,-7.23102455162552
siree,-7.231290764603009
glues,-7.231344661538842
cords,-7.2317691338761065
codas,-7.231786297195087
moire,-7.232239587584084
urges,-7.23272836117953
those,-7.232797969997057
drone,-7.232801733430064
fails,-7.233041684149964
maids,-7.233093227451765
gains,-7.233155289850181
coins,-7.233236773789557
adios,-7.233436523309414
horns,-7.234031002365087
drape,-7.23449568933825
wails,-7.234618537416186
strew,-7.235113646421549
pored,-7.235402097508519
clear,-7.235688132226787
worse,-7.236090050018103
trice,-7.236165654879276
caper,-7.2382370209370075
tuner,-7.238333870617706
bared,-7.23874448784
aches,-7.238846487547837
naves,-7.2391437834303165
loper,-7.239975167478978
stray,-7.241036676660222
strap,-7.241078466056979
curse,-7.241572384794009
smelt,-7.242065741369113
relay,-7.242407644865633
votes,-7.242590270069437
namer,-7.242598783812598
stand,-7.242607628180716
runts,-7.242807697901924
sires,-7.2434221068019555
splat,-7.244801114400109
earth,-7.244938345927313
laird,-7.2451657233880145
tripe,-7.245651416836603
purse,-7.246155500293106
sweat,-7.24633345599472
harps,-7.24657408505748
melds,-7.2466800359385175
treap,-7.246897115025636
thens,-7.247492605766942
lubes,-7.247584882056684
diems,-7.247754807095372
trial,-7.248441306638521
giros,-7.248651803974447
pions,-7.249242897113194
loves,-7.249534265324374
blare,-7.249770582284061
taker,-7.249909549487343
fiats,-7.252123009227236
douse,-7.25224438235829
timer,-7.252282844297376
girts,-7.252795027107905
yards,-7.25308604821146
holer,-7.253178839596534
table,-7.253272534314454
clads,-7.253581075767458
serum,-7.253796608043775
plane,-7.2540122095451975
sport,-7.254350011451887
pacts,-7.254564396958925
faire,-7.254615541077842
trews,-7.255133995278675
rinds,-7.255926750301571
mauls,-7.256221732509708
oaths,-7.256302015331348
train,-7.258637296235109
lazes,-7.2588530263849895
dints,-7.258978584975292
crams,-7.259043717799725
seats,-7.259619749767518
toyer,-7.26074704586395
ranks,-7.262485579638429
glare,-7.262803887392875
anted,-7.263172184105276
taped,-7.263711039366554
minas,-7.263942709312485
surge,-7.264868225019597
water,-7.265083025237765
slave,-7.26558243232368
triad,-7.265920055958315
darks,-7.266616449839175
tangs,-7.266781451634908
short,-7.267719069197911
seals,-7.26887477306231
duces,-7.26888464191704
astir,-7.2693519419674875
pours,-7.269525179982524
singe,-7.269748781045756
trash,-7.26991210448116
outer,-7.271246739961137
scant,-7.27161519668896
emits,-7.272677850030518
poems,-7.2727324418039645
roust,-7.273496715993419
armed,-7.273788392759867
laced,-7.274048986834034
ratio,-7.274095451383802
miler,-7.274733152606174
meant,-7.275425758181713
resaw,-7.275440246400669
sinew,-7.277454228410419
loafs,-7.277943762113724
miter,-7.278086103121084
oiled,-7.278422896357209
drays,-7.279610333978098
capos,-7.280019010501851
prams,-7.280061476620716
caned,-7.280101000047523
spent,-7.280281890593524
early,-7.280912074338595
boils,-7.280968698374073
drags,-7.282326345163829
dupes,-7.282817860326004
wiser,-7.283004252789739
pends,-7.283221105194827
ulnas,-7.284416254998755
lefts,-7.28504363990496
lathe,-7.28646803431698
tyros,-7.286647031961351
hauls,-7.287196142577309
forts,-7.287611669470449
rayed,-7.287831018908436
petal,-7.2884743072617155
dorms,-7.2889811558746915
grits,-7.289014528814616
brads,-7.289129551162038
bakes,-7.289319498583098
cruse,-7.28936119909489
tamed,-7.290087769949157
crone,-7.290621940449158
tilde,-7.2906287305503215
drabs,-7.290746500300931
shoal,-7.290971847000583
worts,-7.291492834144078
muser,-7.29159220518951
atoms,-7.29190501181402
girls,-7.292114946238928
lento,-7.292521638948494
turds,-7.2931870144301065
rosin,-7.293902327733622
pokes,-7.29467335429548
canst,-7.294748437241092
throe,-7.294776771846262
trued,-7.294833184737883
harms,-7.2957218053515
sprit,-7.295832335416937
caves,-7.295968029083907
paned,-7.296431894870431
paves,-7.296570843610275
hosed,-7.2969071112013175
scent,-7.297031550369731
phase,-7.297114873009869
prods,-7.29745463953487
aspen,-7.297681357025804
shard,-7.297682445737522
cedar,-7.298182159574409
range,-7.298334997310977
bolts,-7.298662987002536
avers,-7.298796464004181
cokes,-7.29885306153456
shute,-7.299242103743355
opens,-7.299266252739152
drops,-7.299512610969041
inter,-7.2996868989896875
thane,-7.3001577991941815
soles,-7.30065806643292
cried,-7.300784169051479
laude,-7.3010156075793455
dikes,-7.301320421916918
astro,-7.301718091662972
corps,-7.302727761773242
cleat,-7.302945633164776
deary,-7.303080536804629
macer,-7.303267019944974
lives,-7.3036659454810104
prone,-7.304327590188891
yipes,-7.30571557025387
ramps,-7.3060949319486275
grads,-7.306799490023454
nosey,-7.307640983801545
calms,-7.3078044938801945
haled,-7.308502005339956
pleat,-7.308891746436699
unset,-7.309642330646959
heard,-7.309937079590461
perks,-7.309946823606834
merit,-7.310187922704668
dulse,-7.310768325806419
dregs,-7.310804308389006
nerfs,-7.311003706283533
arums,-7.311583442430276
shirt,-7.31169338673625
tanks,-7.311885371037609
wages,-7.312185002208681
berms,-7.3127449639094495
honer,-7.31350591625203
norms,-7.31390523285726
byres,-7.314039891836142
pried,-7.314080604030701
older,-7.314267265322265
laker,-7.314565352988184
costa,-7.314854789769695
goads,-7.315345836207124
mitre,-7.315455371046187
chase,-7.3156044221056655
inlet,-7.315929860954581
taupe,-7.316066960970957
flats,-7.317720161088189
axles,-7.3177340745474755
chars,-7.317741647898375
shlep,-7.318381817571184
sadly,-7.318749193250061
tribs,-7.31888463092768
cruet,-7.319106797229083
hilts,-7.321380028766178
claps,-7.32202808982837
garde,-7.322075909348872
wrens,-7.322322015187499
lined,-7.323006310994793
mated,-7.3230354741154455
germs,-7.3241253127690475
saved,-7.3242920480348195
damns,-7.324315524740614
besot,-7.324650795686935
raged,-7.326024173523217
pints,-7.326213240691098
swart,-7.327785670427052
arses,-7.328237478851269
boast,-7.328262923559088
sherd,-7.3288217887647615
sowed,-7.328881718086343
rebus,-7.329160933017246
steak,-7.329265183480581
glans,-7.329268183087052
goest,-7.3294996116746365
lamed,-7.329552300524551
palms,-7.33007086617859
silty,-7.330740250725558
yearn,-7.330838964278011
lepta,-7.331046163947905
pieta,-7.331623730648303
style,-7.331998510897514
talon,-7.332008716747549
peril,-7.332062564560302
pouts,-7.332297941627314
lured,-7.332686478293842
wants,-7.332720575465098
abler,-7.333138625425386
noted,-7.333772554097867
debts,-7.334453864505156
coder,-7.335110213474171
limos,-7.335312414527237
wards,-7.335701962642187
flues,-7.335949929323134
payer,-7.336087449423007
stoke,-7.336218935761739
great,-7.336403902266372
parks,-7.336982706693444
rears,-7.337242244573087
types,-7.33726156203056
scope,-7.337693164164596
dyers,-7.338051592199437
pikes,-7.338209821068496
motel,-7.338509292152779
helps,-7.338548502676732
spice,-7.338754240847786
drips,-7.3389327577392125
vapes,-7.3405013339504555
dynes,-7.340624794081773
gelds,-7.341565659990765
glens,-7.341610946451899
setup,-7.341965612348892
zeals,-7.342650793382856
comas,-7.343637534119216
balds,-7.344308619780494
temps,-7.344479896881723
polar,-7.345465587955398
tapir,-7.346032756652799
prays,-7.346119808693695
dance,-7.346855266954845
gnats,-7.347652477461813
curls,-7.348068062434648
suety,-7.348666667566521
tiger,-7.34877034792346
biter,-7.348992418176486
ready,-7.34902775277185
hated,-7.349286758946809
spake,-7.349336436885732
barms,-7.349691534756609
veils,-7.349774873353244
mired,-7.350594752123435
mends,-7.350798698860438
janes,-7.351467193133431
scald,-7.351585444546578
crabs,-7.352219537932247
anode,-7.352661346592644
sneak,-7.35272847537545
sloes,-7.352803857695296
fared,-7.353439950466371
harem,-7.353514156830847
poled,-7.353608871725689
artsy,-7.353619485870279
crags,-7.3536405037070205
turps,-7.353736826032257
viers,-7.353960971378104
miner,-7.354621409981408
corms,-7.354729779661764
tansy,-7.354867953212075
baled,-7.354907171178819
penal,-7.355151414319074
ripen,-7.355398654775513
purls,-7.355608133074032
blots,-7.356407969134772
carol,-7.3566054171385815
beaks,-7.356695066616098
sloth,-7.356726315284232
colds,-7.356883070270863
tonal,-7.357035010739853
menus,-7.357359024382158
omens,-7.357520133553044
roped,-7.357710857557036
asker,-7.357745801267989
beard,-7.359005362169924
sorer,-7.359090517366094
pulse,-7.359305718534701
trend,-7.359853262350193
ruled,-7.359991580770505
herbs,-7.360347487315707
tamps,-7.3605515073214764
unate,-7.360634054540464
okras,-7.361482107923005
hotel,-7.361764381968687
doper,-7.3622124410063225
metal,-7.362939556681337
crops,-7.3633949330009765
items,-7.364012847310634
recto,-7.364784171187752
shake,-7.365004193474281
boner,-7.3653088519685035
reman,-7.365476333844149
solve,-7.365762179872848
picas,-7.367044070634905
spilt,-7.367315044521395
flare,-7.367747130000774
vines,-7.368319252726948
maned,-7.3683666015091696
forte,-7.368852975279683
borne,-7.3693263783507525
hours,-7.369785021785908
skied,-7.37009740737135
mouse,-7.372733397276333
idols,-7.373934687942638
soapy,-7.374070006036548
copse,-7.374258547600849
gilts,-7.3745526487268735
lases,-7.375136380142451
teats,-7.375917006974833
bored,-7.376013173247572
texas,-7.376045350455364
preys,-7.376500572541683
chats,-7.376636963731727
stave,-7.377186858679995
neath,-7.377226951642026
goner,-7.377523842522932
servo,-7.377979591863374
